onet_code,skill_clean,importance,skill,source
15-2051.00,mathematical software,3.0,Mathematical software,tech
15-2051.00,microsoft access,3.0,Microsoft Access,tech
15-2051.00,microsoft azure software,3.0,Microsoft Azure software,tech
15-2051.00,microsoft excel,3.0,Microsoft Excel,tech
15-2051.00,microsoft office software,3.0,Microsoft Office software,tech
15-2051.00,microsoft power bi,3.0,Microsoft Power BI,tech
15-2051.00,microsoft powerpoint,3.0,Microsoft PowerPoint,tech
15-2051.00,microsoft sql server,3.0,Microsoft SQL Server,tech
15-2051.00,mlflow,3.0,Mlflow,tech
15-2051.00,mongodb,3.0,MongoDB,tech
15-2051.00,neo4j,3.0,Neo4j,tech
15-2051.00,nosql,3.0,NoSQL,tech
15-2051.00,numpy,3.0,NumPy,tech
15-2051.00,openai chatgpt,3.0,OpenAI ChatGPT,tech
15-2051.00,oracle java,3.0,Oracle Java,tech
15-2051.00,pandas,3.0,pandas,tech
15-2051.00,perl,3.0,Perl,tech
15-2051.00,postgresql,3.0,PostgreSQL,tech
15-2051.00,pyspark,3.0,PySpark,tech
15-2051.00,python,3.0,Python,tech
15-2051.00,pytorch,3.0,PyTorch,tech
15-2051.00,qlik tech qlikview,3.0,Qlik Tech QlikView,tech
15-2051.00,r,3.0,R,tech
15-2051.00,reporting software,3.0,Reporting software,tech
15-2051.00,restful api,3.0,RESTful API,tech
15-2051.00,ruby,3.0,Ruby,tech
15-2051.00,sas,3.0,SAS,tech
15-2051.00,scala,3.0,Scala,tech
15-2051.00,scikit-learn,3.0,Scikit-learn,tech
15-2051.00,scipy,3.0,SciPy,tech
15-2051.00,shell script,3.0,Shell script,tech
15-2051.00,shiny,3.0,Shiny,tech
15-2051.00,snowflake,3.0,Snowflake,tech
15-2051.00,spacy,3.0,spaCy,tech
15-2051.00,splunk enterprise,3.0,Splunk Enterprise,tech
15-2051.00,statacorp stata,3.0,StataCorp Stata,tech
15-2051.00,statistical software,3.0,Statistical software,tech
15-2051.00,structured query language sql,3.0,Structured query language SQL,tech
15-2051.00,tableau,3.0,Tableau,tech
15-2051.00,tensorflow,3.0,TensorFlow,tech
15-2051.00,teradata database,3.0,Teradata Database,tech
15-2051.00,the mathworks matlab,3.0,The MathWorks MATLAB,tech
15-2051.00,unix,3.0,UNIX,tech
15-2051.00,xgboost,3.0,XGBoost,tech
15-2051.01,active learning,3.88,Active Learning,skill
15-2051.01,active listening,3.88,Active Listening,skill
15-2051.01,actuate eclipse birt,3.0,Actuate Eclipse BIRT,tech
15-2051.01,adobe acrobat,3.0,Adobe Acrobat,tech
15-2051.01,adobe actionscript,3.0,Adobe ActionScript,tech
15-2051.01,adobe dreamweaver,3.0,Adobe Dreamweaver,tech
15-2051.01,advanced business application programming abap,3.0,Advanced business application programming ABAP,tech
15-2051.01,airtable,3.0,Airtable,tech
15-2051.01,ajax,3.0,AJAX,tech
15-2051.01,alteryx software,3.0,Alteryx software,tech
15-2051.01,amazon dynamodb,3.0,Amazon DynamoDB,tech
15-2051.01,amazon elastic compute cloud ec2,3.0,Amazon Elastic Compute Cloud EC2,tech
15-2051.01,amazon redshift,3.0,Amazon Redshift,tech
15-2051.01,amazon web services aws software,3.0,Amazon Web Services AWS software,tech
15-2051.01,apache ant,3.0,Apache Ant,tech
15-2051.01,apache cassandra,3.0,Apache Cassandra,tech
15-2051.01,apache groovy,3.0,Apache Groovy,tech
15-2051.01,apache hadoop,3.0,Apache Hadoop,tech
15-2051.01,apache hive,3.0,Apache Hive,tech
15-2051.01,apache http server,3.0,Apache HTTP Server,tech
15-2051.01,apache kafka,3.0,Apache Kafka,tech
15-2051.01,apache pig,3.0,Apache Pig,tech
15-2051.01,apache solr,3.0,Apache Solr,tech
15-2051.01,apache spark,3.0,Apache Spark,tech
15-2051.01,apache struts,3.0,Apache Struts,tech
15-2051.01,apache tomcat,3.0,Apache Tomcat,tech
15-2051.01,atlassian confluence,3.0,Atlassian Confluence,tech
15-2051.01,atlassian jira,3.0,Atlassian JIRA,tech
15-2051.01,bash,3.0,Bash,tech
15-2051.01,blackbaud the raiser's edge,3.0,Blackbaud The Raiser's Edge,tech
15-2051.01,business objects data integrator,3.0,Business Objects Data Integrator,tech
15-2051.01,c,3.0,C,tech
15-2051.01,c#,3.0,C#,tech
15-2051.01,c++,3.0,C++,tech
15-2051.01,citrix cloud computing software,3.0,Citrix cloud computing software,tech
15-2051.01,common business oriented language cobol,3.0,Common business oriented language COBOL,tech
15-2051.01,complex problem solving,3.38,Complex Problem Solving,skill
15-2051.01,coordination,3.0,Coordination,skill
15-2051.01,critical thinking,3.88,Critical Thinking,skill
15-2051.01,customer information control system cics,3.0,Customer information control system CICS,tech
15-2051.01,data modeling software,3.0,Data modeling software,tech
15-2051.01,data warehouse software,3.0,Data warehouse software,tech
15-2051.01,database software,3.0,Database software,tech
15-2051.01,delphi technology,3.0,Delphi Technology,tech
15-2051.01,django,3.0,Django,tech
15-2051.01,drupal,3.0,Drupal,tech
15-2051.01,dynamic hypertext markup language dhtml,3.0,Dynamic hypertext markup language DHTML,tech
15-2051.01,eclipse ide,3.0,Eclipse IDE,tech
15-2051.01,eko,3.0,Eko,tech
15-2051.01,elasticsearch,3.0,Elasticsearch,tech
15-2051.01,enterprise javabeans,3.0,Enterprise JavaBeans,tech
15-2051.01,enterprise resource planning erp software,3.0,Enterprise resource planning ERP software,tech
15-2051.01,epic systems,3.0,Epic Systems,tech
15-2051.01,esri arcgis software,3.0,ESRI ArcGIS software,tech
15-2051.01,ext js,3.0,Ext JS,tech
15-2051.01,extensible hypertext markup language xhtml,3.0,Extensible hypertext markup language XHTML,tech
15-2051.01,extensible markup language xml,3.0,Extensible markup language XML,tech
15-2051.01,facebook,3.0,Facebook,tech
15-2051.01,filemaker pro,3.0,FileMaker Pro,tech
15-2051.01,fund accounting software,3.0,Fund accounting software,tech
15-2051.01,geographic information system gis software,3.0,Geographic information system GIS software,tech
15-2051.01,git,3.0,Git,tech
15-2051.01,github,3.0,GitHub,tech
15-2051.01,go,3.0,Go,tech
15-2051.01,google ads,3.0,Google Ads,tech
15-2051.01,google analytics,3.0,Google Analytics,tech
15-2051.01,google docs,3.0,Google Docs,tech
15-2051.01,google sites,3.0,Google Sites,tech
15-2051.01,google slides,3.0,Google Slides,tech
15-2051.01,healthcare common procedure coding system hcpcs,3.0,Healthcare common procedure coding system HCPCS,tech
15-2051.01,hewlett packard hp-ux,3.0,Hewlett Packard HP-UX,tech
15-2051.01,hewlett packard loadrunner,3.0,Hewlett Packard LoadRunner,tech
15-2051.01,hibernate orm,3.0,Hibernate ORM,tech
15-2051.01,human resource management software hrms,3.0,Human resource management software HRMS,tech
15-2051.01,hypertext markup language html,3.0,Hypertext markup language HTML,tech
15-2051.01,ibm cognos impromptu,3.0,IBM Cognos Impromptu,tech
15-2051.01,ibm db2,3.0,IBM DB2,tech
15-2051.01,ibm domino,3.0,IBM Domino,tech
15-2051.01,ibm infosphere datastage,3.0,IBM InfoSphere DataStage,tech
15-2051.01,ibm notes,3.0,IBM Notes,tech
15-2051.01,ibm power systems software,3.0,IBM Power Systems software,tech
15-2051.01,ibm spss statistics,3.0,IBM SPSS Statistics,tech
15-2051.01,ibm unica enterprise,3.0,IBM Unica Enterprise,tech
15-2051.01,ibm websphere,3.0,IBM WebSphere,tech
15-2051.01,informatica data explorer,3.0,Informatica Data Explorer,tech
15-2051.01,informatica software,3.0,Informatica software,tech
15-2051.01,information builders webfocus,3.0,Information Builders WebFOCUS,tech
15-2051.01,instructing,3.0,Instructing,skill
15-2051.01,integrated development environment ide software,3.0,Integrated development environment IDE software,tech
15-2051.01,javascript,3.0,JavaScript,tech
15-2051.01,javascript object notation json,3.0,JavaScript Object Notation JSON,tech
15-2051.01,job control language jcl,3.0,Job control language JCL,tech
15-2051.01,jquery,3.0,jQuery,tech
15-2051.01,judgment and decision making,3.62,Judgment and Decision Making,skill
15-2051.01,jupyter notebook,3.0,Jupyter Notebook,tech
15-2051.01,kornshell,3.0,KornShell,tech
15-2051.01,learning strategies,3.0,Learning Strategies,skill
15-2051.01,lexisnexis,3.0,LexisNexis,tech
15-2051.01,linux,3.0,Linux,tech
15-2051.01,marketo marketing automation,3.0,Marketo Marketing Automation,tech
15-2051.01,mathematics,3.5,Mathematics,skill
15-2051.01,mcafee,3.0,McAfee,tech
15-2051.01,medical condition coding software,3.0,Medical condition coding software,tech
15-2051.01,medical procedure coding software,3.0,Medical procedure coding software,tech
15-2051.01,meditech software,3.0,MEDITECH software,tech
15-2051.01,microsoft .net framework,3.0,Microsoft .NET Framework,tech
15-2051.01,microsoft access,3.0,Microsoft Access,tech
15-2051.01,microsoft active server pages asp,3.0,Microsoft Active Server Pages ASP,tech
15-2051.01,microsoft activex,3.0,Microsoft ActiveX,tech
15-2051.01,microsoft asp.net,3.0,Microsoft ASP.NET,tech
15-2051.01,microsoft azure software,3.0,Microsoft Azure software,tech
15-2051.01,microsoft dynamics,3.0,Microsoft Dynamics,tech
15-2051.01,microsoft dynamics gp,3.0,Microsoft Dynamics GP,tech
15-2051.01,microsoft excel,3.0,Microsoft Excel,tech
15-2051.01,microsoft exchange,3.0,Microsoft Exchange,tech
15-2051.01,microsoft office software,3.0,Microsoft Office software,tech
15-2051.01,microsoft outlook,3.0,Microsoft Outlook,tech
15-2051.01,microsoft power automate,3.0,Microsoft Power Automate,tech
15-2051.01,microsoft power bi,3.0,Microsoft Power BI,tech
15-2051.01,microsoft powerpoint,3.0,Microsoft PowerPoint,tech
15-2051.01,microsoft powershell,3.0,Microsoft PowerShell,tech
15-2051.01,microsoft proclarity,3.0,Microsoft Proclarity,tech
15-2051.01,microsoft project,3.0,Microsoft Project,tech
15-2051.01,microsoft publisher,3.0,Microsoft Publisher,tech
15-2051.01,microsoft sharepoint,3.0,Microsoft SharePoint,tech
15-2051.01,microsoft sql server,3.0,Microsoft SQL Server,tech
15-2051.01,microsoft sql server integration services ssis,3.0,Microsoft SQL Server Integration Services SSIS,tech
15-2051.01,microsoft sql server reporting services ssrs,3.0,Microsoft SQL Server Reporting Services SSRS,tech
15-2051.01,microsoft visio,3.0,Microsoft Visio,tech
15-2051.01,microsoft visual basic,3.0,Microsoft Visual Basic,tech
15-2051.01,microsoft visual basic for applications vba,3.0,Microsoft Visual Basic for Applications VBA,tech
15-2051.01,microsoft visual basic scripting edition vbscript,3.0,Microsoft Visual Basic Scripting Edition VBScript,tech
15-2051.01,microsoft visual studio,3.0,Microsoft Visual Studio,tech
15-2051.01,microsoft windows server,3.0,Microsoft Windows Server,tech
15-2051.01,microsoft word,3.0,Microsoft Word,tech
15-2051.01,microstrategy,3.0,MicroStrategy,tech
15-2051.01,minitab,3.0,Minitab,tech
15-2051.01,mongodb,3.0,MongoDB,tech
15-2051.01,monitoring,3.12,Monitoring,skill
15-2051.01,mysql,3.0,MySQL,tech
15-2051.01,nagios,3.0,Nagios,tech
15-2051.01,negotiation,2.5,Negotiation,skill
15-2051.01,netsuite erp,3.0,NetSuite ERP,tech
15-2051.01,nortonlifelock cybersecurity software,3.0,NortonLifeLock cybersecurity software,tech
15-2051.01,nosql,3.0,NoSQL,tech
15-2051.01,oracle business intelligence enterprise edition,3.0,Oracle Business Intelligence Enterprise Edition,tech
15-2051.01,oracle cloud software,3.0,Oracle Cloud software,tech
15-2051.01,oracle database,3.0,Oracle Database,tech
15-2051.01,oracle e-business suite financials,3.0,Oracle E-Business Suite Financials,tech
15-2051.01,oracle eloqua,3.0,Oracle Eloqua,tech
15-2051.01,oracle essbase,3.0,Oracle Essbase,tech
15-2051.01,oracle fusion applications,3.0,Oracle Fusion Applications,tech
15-2051.01,oracle hyperion,3.0,Oracle Hyperion,tech
15-2051.01,oracle java,3.0,Oracle Java,tech
15-2051.01,oracle javaserver pages jsp,3.0,Oracle JavaServer Pages JSP,tech
15-2051.01,oracle jd edwards enterpriseone,3.0,Oracle JD Edwards EnterpriseOne,tech
15-2051.01,oracle jdbc,3.0,Oracle JDBC,tech
15-2051.01,oracle peoplesoft,3.0,Oracle PeopleSoft,tech
15-2051.01,oracle peoplesoft financials,3.0,Oracle PeopleSoft Financials,tech
15-2051.01,oracle pl/sql,3.0,Oracle PL/SQL,tech
15-2051.01,oracle primavera enterprise project portfolio management,3.0,Oracle Primavera Enterprise Project Portfolio Management,tech
15-2051.01,oracle siebel marketing resource management,3.0,Oracle Siebel Marketing Resource Management,tech
15-2051.01,oracle solaris,3.0,Oracle Solaris,tech
15-2051.01,oracle sql developer,3.0,Oracle SQL Developer,tech
15-2051.01,oracle taleo,3.0,Oracle Taleo,tech
15-2051.01,oracle weblogic server,3.0,Oracle WebLogic Server,tech
15-2051.01,panorama novaview,3.0,Panorama NovaView,tech
15-2051.01,perl,3.0,Perl,tech
15-2051.01,persuasion,2.88,Persuasion,skill
15-2051.01,php,3.0,PHP,tech
15-2051.01,postgresql,3.0,PostgreSQL,tech
15-2051.01,programming,2.5,Programming,skill
15-2051.01,ptc creo parametric,3.0,PTC Creo Parametric,tech
15-2051.01,python,3.0,Python,tech
15-2051.01,qlik tech qlikview,3.0,Qlik Tech QlikView,tech
15-2051.01,quest erwin data modeler,3.0,Quest Erwin Data Modeler,tech
15-2051.01,r,3.0,R,tech
15-2051.01,reading comprehension,4.0,Reading Comprehension,skill
15-2051.01,red hat enterprise linux,3.0,Red Hat Enterprise Linux,tech
15-2051.01,red hat wildfly,3.0,Red Hat WildFly,tech
15-2051.01,relational database management software,3.0,Relational database management software,tech
15-2051.01,reporting software,3.0,Reporting software,tech
15-2051.01,rogue wave software imsl numerical libraries,3.0,Rogue Wave Software IMSL Numerical Libraries,tech
15-2051.01,ruby,3.0,Ruby,tech
15-2051.01,ruby on rails,3.0,Ruby on Rails,tech
15-2051.01,salesforce software,3.0,Salesforce software,tech
15-2051.01,salesforce visualforce,3.0,Salesforce Visualforce,tech
15-2051.01,sap business objects,3.0,SAP Business Objects,tech
15-2051.01,sap businessobjects data integrator,3.0,SAP BusinessObjects Data Integrator,tech
15-2051.01,sap crystal reports,3.0,SAP Crystal Reports,tech
15-2051.01,sap erp,3.0,SAP ERP,tech
15-2051.01,sap netweaver bw,3.0,SAP NetWeaver BW,tech
15-2051.01,sap software,3.0,SAP software,tech
15-2051.01,sas,3.0,SAS,tech
15-2051.01,scala,3.0,Scala,tech
15-2051.01,service orientation,2.88,Service Orientation,skill
15-2051.01,shell script,3.0,Shell script,tech
15-2051.01,sisense prism,3.0,SiSense Prism,tech
15-2051.01,skype,3.0,Skype,tech
15-2051.01,snowflake,3.0,Snowflake,tech
15-2051.01,social perceptiveness,2.88,Social Perceptiveness,skill
15-2051.01,speaking,3.88,Speaking,skill
15-2051.01,splunk enterprise,3.0,Splunk Enterprise,tech
15-2051.01,statacorp stata,3.0,StataCorp Stata,tech
15-2051.01,structured query language sql,3.0,Structured query language SQL,tech
15-2051.01,swift,3.0,Swift,tech
15-2051.01,systems analysis,3.12,Systems Analysis,skill
15-2051.01,systems evaluation,3.12,Systems Evaluation,skill
15-2051.01,tableau,3.0,Tableau,tech
15-2051.01,tax software,3.0,Tax software,tech
15-2051.01,teradata database,3.0,Teradata Database,tech
15-2051.01,the mathworks matlab,3.0,The MathWorks MATLAB,tech
15-2051.01,time management,3.12,Time Management,skill
15-2051.01,transact-sql,3.0,Transact-SQL,tech
15-2051.01,ubuntu,3.0,Ubuntu,tech
15-2051.01,unified modeling language uml,3.0,Unified modeling language UML,tech
15-2051.01,unix,3.0,UNIX,tech
15-2051.01,unix shell,3.0,UNIX Shell,tech
15-2051.01,veritas netbackup,3.0,Veritas NetBackup,tech
15-2051.01,virtual private networking vpn software,3.0,Virtual private networking VPN software,tech
15-2051.01,wireshark,3.0,Wireshark,tech
15-2051.01,writing,3.75,Writing,skill
15-2051.01,youtube,3.0,YouTube,tech
15-2051.02,5am glassbox translational research,3.0,5AM Glassbox Translational Research,tech
15-2051.02,active learning,3.62,Active Learning,skill
15-2051.02,active listening,3.88,Active Listening,skill
15-2051.02,allscripts healthcare automation software,3.0,Allscripts healthcare automation software,tech
15-2051.02,autocoders,3.0,Autocoders,tech
15-2051.02,c#,3.0,C#,tech
15-2051.02,c++,3.0,C++,tech
15-2051.02,citrix cloud computing software,3.0,Citrix cloud computing software,tech
15-2051.02,cleartrial,3.0,ClearTrial,tech
15-2051.02,clinical trial management software,3.0,Clinical trial management software,tech
15-2051.02,complex problem solving,3.5,Complex Problem Solving,skill
15-2051.02,coordination,3.38,Coordination,skill
15-2051.02,critical thinking,4.0,Critical Thinking,skill
15-2051.02,drug coding software,3.0,Drug coding software,tech
15-2051.02,dzs software solutions clinplus,3.0,DZS Software Solutions ClinPlus,tech
15-2051.02,electronic data capture edc software,3.0,Electronic data capture EDC software,tech
15-2051.02,epharmasolutions emvr,3.0,ePharmaSolutions eMVR,tech
15-2051.02,epic systems,3.0,Epic Systems,tech
15-2051.02,epiccare ambulatory electronic medical records (emr) software,3.0,EpicCare Ambulatory Electronic Medical Records (EMR) software,tech
15-2051.02,extensible markup language xml,3.0,Extensible markup language XML,tech
15-2051.02,fortress medical clindex,3.0,Fortress Medical Clindex,tech
15-2051.02,go,3.0,Go,tech
15-2051.02,ibm spss statistics,3.0,IBM SPSS Statistics,tech
15-2051.02,inforsense inforsense,3.0,InforSense InforSense,tech
15-2051.02,instructing,3.0,Instructing,skill
15-2051.02,invivo data epx epro management system,3.0,Invivo Data EPX ePRO Management System,tech
15-2051.02,judgment and decision making,3.25,Judgment and Decision Making,skill
15-2051.02,kika veracity,3.0,KIKA Veracity,tech
15-2051.02,learning strategies,2.88,Learning Strategies,skill
15-2051.02,management of personnel resources,3.0,Management of Personnel Resources,skill
15-2051.02,mathematics,3.5,Mathematics,skill
15-2051.02,medidata rave data management,3.0,Medidata Rave Data Management,tech
15-2051.02,meditech software,3.0,MEDITECH software,tech
15-2051.02,merge healthcare etrials,3.0,Merge Healthcare eTrials,tech
15-2051.02,microsoft access,3.0,Microsoft Access,tech
15-2051.02,microsoft excel,3.0,Microsoft Excel,tech
15-2051.02,microsoft office software,3.0,Microsoft Office software,tech
15-2051.02,microsoft powerpoint,3.0,Microsoft PowerPoint,tech
15-2051.02,microsoft project,3.0,Microsoft Project,tech
15-2051.02,microsoft sharepoint,3.0,Microsoft SharePoint,tech
15-2051.02,microsoft sql server,3.0,Microsoft SQL Server,tech
15-2051.02,microsoft visio,3.0,Microsoft Visio,tech
15-2051.02,microsoft visual basic,3.0,Microsoft Visual Basic,tech
15-2051.02,microsoft word,3.0,Microsoft Word,tech
15-2051.02,monitoring,3.62,Monitoring,skill
15-2051.02,negotiation,2.5,Negotiation,skill
15-2051.02,openclinica,3.0,OpenClinica,tech
15-2051.02,operations analysis,2.75,Operations Analysis,skill
15-2051.02,oracle clinical,3.0,Oracle Clinical,tech
15-2051.02,oracle java,3.0,Oracle Java,tech
15-2051.02,oracle remote data capture,3.0,Oracle Remote Data Capture,tech
15-2051.02,oracle sql loader,3.0,Oracle SQL Loader,tech
15-2051.02,patient tracking software,3.0,Patient tracking software,tech
15-2051.02,percipenz technologies oncore-clinical research management oncore-crm,3.0,PercipEnz Technologies OnCore-Clinical Research Management OnCore-CRM,tech
15-2051.02,persuasion,2.75,Persuasion,skill
15-2051.02,phase forward clintrial,3.0,Phase Forward Clintrial,tech
15-2051.02,ppd eloader,3.0,PPD eLoader,tech
15-2051.02,programming,3.25,Programming,skill
15-2051.02,project management software,3.0,Project management software,tech
15-2051.02,quality control analysis,2.5,Quality Control Analysis,skill
15-2051.02,reading comprehension,3.88,Reading Comprehension,skill
15-2051.02,relational database management software,3.0,Relational database management software,tech
15-2051.02,relational database software,3.0,Relational database software,tech
15-2051.02,sap businessobjects crystal reports,3.0,SAP BusinessObjects Crystal Reports,tech
15-2051.02,sap crystal reports,3.0,SAP Crystal Reports,tech
15-2051.02,sas,3.0,SAS,tech
15-2051.02,sas jmp,3.0,SAS JMP,tech
15-2051.02,service orientation,2.75,Service Orientation,skill
15-2051.02,sierra scientific software cris,3.0,Sierra Scientific Software CRIS,tech
15-2051.02,social perceptiveness,3.12,Social Perceptiveness,skill
15-2051.02,speaking,3.88,Speaking,skill
15-2051.02,structured query language sql,3.0,Structured query language SQL,tech
15-2051.02,studymanager sponsor edition,3.0,StudyManager Sponsor Edition,tech
15-2051.02,symetric sciences symetric,3.0,SyMetric Sciences SyMetric,tech
15-2051.02,systems analysis,3.25,Systems Analysis,skill
15-2051.02,systems evaluation,3.12,Systems Evaluation,skill
15-2051.02,teradata database,3.0,Teradata Database,tech
15-2051.02,time management,3.38,Time Management,skill
15-2051.02,topaz enterprise software suite,3.0,TOPAZ Enterprise Software Suite,tech
15-2051.02,word processing software,3.0,Word processing software,tech
15-2051.02,writing,3.75,Writing,skill
15-2099.01,active learning,3.5,Active Learning,skill
15-2099.01,active listening,3.5,Active Listening,skill
15-2099.01,administration and management,2.71,Administration and Management,knowledge
15-2099.01,administrative,2.7,Administrative,knowledge
15-2099.01,apache subversion svn,3.0,Apache Subversion SVN,tech
15-2099.01,atlassian bamboo,3.0,Atlassian Bamboo,tech
15-2099.01,avaya identity engines,3.0,Avaya Identity Engines,tech
15-2099.01,basic local alignment search tool blast,3.0,Basic Local Alignment Search Tool BLAST,tech
15-2099.01,bioconductor,3.0,Bioconductor,tech
15-2099.01,biology,3.8,Biology,knowledge
15-2099.01,bowtie,3.0,Bowtie,tech
15-2099.01,burrows-wheeler aligner bwa,3.0,Burrows-Wheeler Aligner BWA,tech
15-2099.01,c,3.0,C,tech
15-2099.01,c++,3.0,C++,tech
15-2099.01,chemistry,2.75,Chemistry,knowledge
15-2099.01,clustalw,3.0,ClustalW,tech
15-2099.01,complex problem solving,3.5,Complex Problem Solving,skill
15-2099.01,computers and electronics,4.77,Computers and Electronics,knowledge
15-2099.01,coordination,2.88,Coordination,skill
15-2099.01,critical thinking,3.5,Critical Thinking,skill
15-2099.01,cufflinks,3.0,Cufflinks,tech
15-2099.01,customer and personal service,2.6,Customer and Personal Service,knowledge
15-2099.01,customer relationship management crm software,3.0,Customer relationship management CRM software,tech
15-2099.01,data visualization software,3.0,Data visualization software,tech
15-2099.01,design,2.91,Design,knowledge
15-2099.01,education and training,2.72,Education and Training,knowledge
15-2099.01,engineering and technology,2.86,Engineering and Technology,knowledge
15-2099.01,english language,3.99,English Language,knowledge
15-2099.01,enterprise resource planning erp software,3.0,Enterprise resource planning ERP software,tech
15-2099.01,esri arcgis,3.0,Esri ArcGIS,tech
15-2099.01,genome analysis toolkit gatk,3.0,Genome Analysis Toolkit GATK,tech
15-2099.01,genscan,3.0,GENSCAN,tech
15-2099.01,geographic information system gis software,3.0,Geographic information system GIS software,tech
15-2099.01,git,3.0,Git,tech
15-2099.01,hypertext markup language html,3.0,Hypertext markup language HTML,tech
15-2099.01,ibm spss statistics,3.0,IBM SPSS Statistics,tech
15-2099.01,instructing,2.88,Instructing,skill
15-2099.01,jenkins ci,3.0,Jenkins CI,tech
15-2099.01,judgment and decision making,3.5,Judgment and Decision Making,skill
15-2099.01,learning strategies,2.75,Learning Strategies,skill
15-2099.01,linux,3.0,Linux,tech
15-2099.01,management of personnel resources,2.62,Management of Personnel Resources,skill
15-2099.01,mathematics,4.5,Mathematics,skill
15-2099.01,medicine and dentistry,2.53,Medicine and Dentistry,knowledge
15-2099.01,microsoft access,3.0,Microsoft Access,tech
15-2099.01,microsoft excel,3.0,Microsoft Excel,tech
15-2099.01,microsoft office software,3.0,Microsoft Office software,tech
15-2099.01,microsoft outlook,3.0,Microsoft Outlook,tech
15-2099.01,microsoft powerpoint,3.0,Microsoft PowerPoint,tech
15-2099.01,microsoft sharepoint,3.0,Microsoft SharePoint,tech
15-2099.01,microsoft sql server,3.0,Microsoft SQL Server,tech
15-2099.01,microsoft visio,3.0,Microsoft Visio,tech
15-2099.01,microsoft windows,3.0,Microsoft Windows,tech
15-2099.01,microsoft word,3.0,Microsoft Word,tech
15-2099.01,monitoring,3.25,Monitoring,skill
15-2099.01,mysql,3.0,MySQL,tech
15-2099.01,negotiation,2.5,Negotiation,skill
15-2099.01,operations monitoring,2.62,Operations Monitoring,skill
15-2099.01,oracle database,3.0,Oracle Database,tech
15-2099.01,oracle java,3.0,Oracle Java,tech
15-2099.01,perl,3.0,Perl,tech
15-2099.01,persuasion,2.75,Persuasion,skill
15-2099.01,phylip,3.0,PHYLIP,tech
15-2099.01,programming,3.12,Programming,skill
15-2099.01,python,3.0,Python,tech
15-2099.01,r,3.0,R,tech
15-2099.01,reading comprehension,3.75,Reading Comprehension,skill
15-2099.01,ruby,3.0,Ruby,tech
15-2099.01,sap software,3.0,SAP software,tech
15-2099.01,sas,3.0,SAS,tech
15-2099.01,science,3.12,Science,skill
15-2099.01,service orientation,2.5,Service Orientation,skill
15-2099.01,social perceptiveness,2.88,Social Perceptiveness,skill
15-2099.01,speaking,3.38,Speaking,skill
15-2099.01,structured query language sql,3.0,Structured query language SQL,tech
15-2099.01,systems analysis,3.25,Systems Analysis,skill
15-2099.01,systems evaluation,3.0,Systems Evaluation,skill
15-2099.01,the mathworks matlab,3.0,The MathWorks MATLAB,tech
15-2099.01,thermo fisher scientific ion reporter,3.0,Thermo Fisher Scientific Ion Reporter,tech
15-2099.01,time management,3.0,Time Management,skill
15-2099.01,tophat,3.0,TopHat,tech
15-2099.01,voice over internet protocol voip system software,3.0,Voice over internet protocol VoIP system software,tech
15-2099.01,web browser software,3.0,Web browser software,tech
15-2099.01,word processing software,3.0,Word processing software,tech
15-2099.01,writing,3.5,Writing,skill
17-1011.00,1st pricing window & door toolkit,3.0,1ST Pricing Window & Door Toolkit,tech
17-1011.00,active learning,3.62,Active Learning,skill
17-1011.00,active listening,3.88,Active Listening,skill
17-1011.00,adobe acrobat,3.0,Adobe Acrobat,tech
17-1011.00,adobe creative cloud software,3.0,Adobe Creative Cloud software,tech
17-1011.00,adobe illustrator,3.0,Adobe Illustrator,tech
17-1011.00,adobe indesign,3.0,Adobe InDesign,tech
17-1011.00,adobe photoshop,3.0,Adobe Photoshop,tech
17-1011.00,amazon elastic compute cloud ec2,3.0,Amazon Elastic Compute Cloud EC2,tech
17-1011.00,amazon redshift,3.0,Amazon Redshift,tech
17-1011.00,amazon web services aws software,3.0,Amazon Web Services AWS software,tech
17-1011.00,apache cassandra,3.0,Apache Cassandra,tech
17-1011.00,apache hadoop,3.0,Apache Hadoop,tech
17-1011.00,apache hive,3.0,Apache Hive,tech
17-1011.00,apache maven,3.0,Apache Maven,tech
17-1011.00,apache pig,3.0,Apache Pig,tech
17-1011.00,applied search technology cadfind,3.0,Applied Search Technology CADFind,tech
17-1011.00,artifice designworkshop,3.0,Artifice DesignWorkshop,tech
17-1011.00,autodesk 3ds max design,3.0,Autodesk 3ds Max Design,tech
17-1011.00,autodesk architectural studio,3.0,Autodesk Architectural Studio,tech
17-1011.00,autodesk autocad,3.0,Autodesk AutoCAD,tech
17-1011.00,autodesk autocad civil 3d,3.0,Autodesk AutoCAD Civil 3D,tech
17-1011.00,autodesk revit,3.0,Autodesk Revit,tech
17-1011.00,autodessys form z,3.0,AutoDesSys form Z,tech
17-1011.00,aztechsoft gps2cad,3.0,AzTechSoft GPS2CAD,tech
17-1011.00,beamchek,3.0,BeamChek,tech
17-1011.00,bentley microstation,3.0,Bentley MicroStation,tech
17-1011.00,bqe software archioffice,3.0,BQE Software ArchiOffice,tech
17-1011.00,chef,3.0,Chef,tech
17-1011.00,complex problem solving,3.75,Complex Problem Solving,skill
17-1011.00,computer aided design and drafting software cadd,3.0,Computer aided design and drafting software CADD,tech
17-1011.00,computer aided manufacturing cam software,3.0,Computer aided manufacturing CAM software,tech
17-1011.00,coordination,3.5,Coordination,skill
